Time,Container,CPU %,Memory Usage
1747117656,laughing_diffie,0.05%,88.07MiB / 14.67GiB
1747117659,laughing_diffie,0.04%,88.07MiB / 14.67GiB
1747117661,laughing_diffie,270.42%,92.93MiB / 14.67GiB
1747117664,laughing_diffie,280.97%,93.16MiB / 14.67GiB
1747117666,laughing_diffie,185.68%,93.25MiB / 14.67GiB
1747117669,laughing_diffie,297.38%,93.14MiB / 14.67GiB
1747117672,laughing_diffie,235.61%,93.23MiB / 14.67GiB
1747117674,laughing_diffie,395.38%,93.75MiB / 14.67GiB
1747117677,laughing_diffie,398.76%,93.52MiB / 14.67GiB
1747117679,laughing_diffie,393.08%,93.92MiB / 14.67GiB
1747117682,laughing_diffie,70.94%,93MiB / 14.67GiB
1747117684,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117687,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117689,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117692,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117694,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117697,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117699,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117702,laughing_diffie,0.03%,93MiB / 14.67GiB
1747117704,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117707,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117709,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117712,laughing_diffie,0.04%,93MiB / 14.67GiB
1747117715,laughing_diffie,0.04%,93MiB / 14.67GiB
