Time,Container,CPU %,Memory Usage
1747117115,mystifying_archimedes,0.05%,98.31MiB / 14.67GiB
1747117117,mystifying_archimedes,11.95%,101.1MiB / 14.67GiB
1747117120,mystifying_archimedes,280.23%,101.7MiB / 14.67GiB
1747117122,mystifying_archimedes,330.25%,101.7MiB / 14.67GiB
1747117125,mystifying_archimedes,307.06%,101.6MiB / 14.67GiB
1747117127,mystifying_archimedes,277.52%,101.6MiB / 14.67GiB
1747117130,mystifying_archimedes,121.42%,101.6MiB / 14.67GiB
1747117132,mystifying_archimedes,355.75%,101.7MiB / 14.67GiB
1747117135,mystifying_archimedes,316.93%,101.9MiB / 14.67GiB
1747117137,mystifying_archimedes,299.61%,101.8MiB / 14.67GiB
1747117140,mystifying_archimedes,399.69%,102MiB / 14.67GiB
1747117142,mystifying_archimedes,397.83%,101.4MiB / 14.67GiB
1747117145,mystifying_archimedes,399.12%,101.6MiB / 14.67GiB
1747117147,mystifying_archimedes,399.43%,101.9MiB / 14.67GiB
1747117150,mystifying_archimedes,400.88%,101.6MiB / 14.67GiB
1747117153,mystifying_archimedes,345.78%,101.8MiB / 14.67GiB
1747117155,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117158,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117160,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117163,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117165,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117168,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117170,mystifying_archimedes,0.04%,101.2MiB / 14.67GiB
1747117173,mystifying_archimedes,0.05%,101.2MiB / 14.67GiB
